stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\justi\Documents\NTHUCS_code\mini2\TowerDefense\bin\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.06858] added dtor for sample_instance 0000000002BE36A0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06860] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06862] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06863] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06865] added dtor for sample_instance 0000000002BE2830, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06867] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06869] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06871] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06873] added dtor for sample_instance 0000000002BE2AD0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06875] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06876] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06878] 
